City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
477,Chambas,CU,83.82,22.1928,-78.9136,
478,Kabalo,CD,68.45,-6.05,26.9167,
479,Lamu,KE,79.02,-2.2717,40.902,
480,Miyako,JP,51.19,39.6367,141.9525,
481,Correntina,BR,79.54,-13.3433,-44.6367,
482,Sringeri,IN,67.1,13.4167,75.25,
484,Ngunguru,NZ,70.16,-35.6167,174.5,
485,Wukari,NG,78.46,7.85,9.7833,
486,Albury,AU,53.65,-36.0833,146.9167,
487,Karaton,ID,77.16,-6.3424,106.1045,
488,Bodden Town,KY,87.01,19.2833,-81.25,
489,Los Andes,CL,80.37,-32.8337,-70.5983,
490,Moyale,KE,72.86,3.5167,39.0584,
491,Rio Grande,BR,64.94,-32.035,-52.0986,
492,Jacareacanga,BR,75.06,-6.2222,-57.7528,
493,Grand Gaube,MU,75.38,-20.0064,57.6608,
494,Imbituba,BR,69.82,-28.24,-48.6703,
495,Karpathos,GR,69.76,35.507,27.2132,
498,Vila,PT,51.93,42.0304,-8.1588,
500,Waitati,NZ,62.8,-45.75,170.5667,
501,Shaowu,CN,52.88,27.3409,117.4831,
503,Qandala,SO,80.69,11.472,49.8728,
504,Yeppoon,AU,76.78,-23.1333,150.7333,
511,Portland,US,58.84,45.5234,-122.6762,
512,Charters Towers,AU,74.05,-20.1,146.2667,
513,Ulcinj,ME,52.02,41.9294,19.2244,
517,Macapa,BR,87.78,0.0389,-51.0664,
520,Larsnes,NO,54.19,62.2028,5.5773,
521,Shimoda,JP,62.71,34.6667,138.95,
522,Creel,MX,67.98,27.75,-107.6333,
523,Pringsewu,ID,73.89,-5.3582,104.9744,
525,General Roca,AR,75.61,-39.0333,-67.5833,
526,Liverpool,GB,54.68,53.4106,-2.9779,
528,Emerald,AU,79.34,-23.5333,148.1667,
529,Pointe Michel,DM,80.89,15.25,-61.3833,
530,Harper,LR,77.58,4.375,-7.7169,
532,Banda Aceh,ID,78.55,5.5577,95.3222,
533,Kampong Thum,KH,71.02,12.7111,104.8887,
535,Dulag,PH,77.56,10.9525,125.0317,
537,Salalah,OM,75.79,17.0151,54.0924,
538,Ruteng,ID,63.37,-8.6136,120.4721,
539,Santa Barbara,US,67.23,34.7333,-120.0343,
540,Abu Samrah,SY,63.81,35.3029,37.1841,
541,Tura,IN,66.81,25.5198,90.2201,
542,Martapura,ID,75.29,-3.4167,114.85,
544,Springbok,ZA,60.48,-29.6643,17.8865,
546,Alghero,IT,62.69,40.5589,8.3181,
547,Mount Hagen,PG,63.01,-5.8581,144.2274,
548,Bajil,YE,84.81,15.0584,43.2851,
551,Antofagasta,CL,60.08,-23.65,-70.4,
552,Caxito,AO,75.85,-8.5785,13.6643,
554,Yining,CN,50.43,29.0361,114.5636,
555,Yatou,CN,51.03,37.15,122.3833,
557,Kaeo,NZ,70.32,-35.1,173.7833,
558,Grand-Santi,GF,77.43,4.25,-54.3833,
559,Lindas,NO,51.76,60.7381,5.16,
560,Cap-Aux-Meules,CA,51.44,47.3821,-61.8597,
562,Teguise,ES,68.22,29.0605,-13.564,
563,Santa Maria,BR,60.21,-29.6842,-53.8069,
565,Muroto,JP,61.75,33.2833,134.15,
566,Beatrice,US,50.18,40.2681,-96.747,
567,Jardim De Piranhas,BR,88.86,-6.3786,-37.3519,
570,Tutoia,BR,81.19,-2.7619,-42.2744,
572,Madimba,TZ,76.05,-10.4,40.3333,
573,Darnah,LY,73.06,32.767,22.6367,
575,Beachwood,US,54.61,41.4645,-81.5087,
576,Kutum,SD,75.43,14.2,24.6667,
577,Raudeberg,NO,53.38,61.9875,5.1352,
579,Sarakhs,IR,52.54,36.5449,61.1577,
580,Pontes E Lacerda,BR,71.24,-15.2261,-59.3353,
584,Aragarcas,BR,70.41,-15.8975,-52.2508,
587,Bose,IT,53.24,45.4612,8.0137,
589,Hereford,GB,54.91,52.0568,-2.7148,
590,Tocopilla,CL,63.19,-22.092,-70.1979,
592,Jalu,LY,74.37,29.0331,21.5482,
593,Maumere,ID,79.68,-8.6199,122.2111,
594,Rafaela,AR,77.99,-31.2503,-61.4867,
597,Griffith,US,51.73,41.5284,-87.4237,
599,Manado,ID,74.17,1.487,124.8455,
600,Barkot,IN,51.04,30.8167,78.2,
601,Meulaboh,ID,74.61,4.1363,96.1285,
602,Sairang,IN,66.29,23.8,92.6667,
605,Freeport,US,59.25,40.6576,-73.5832,
606,Cozumel,MX,86.11,20.5083,-86.9458,
607,Sakakah,SA,68.27,29.9697,40.2064,
609,Bundaberg,AU,79.09,-24.85,152.35,
610,Santa Rosa,PH,77.11,14.3122,121.1114,
611,Kalaleh,IR,58.03,37.3807,55.4916,
612,Iberia,US,81.1,29.9502,-91.7507,
613,Jardim,BR,72.82,-21.4803,-56.1381,
617,Nakamura,JP,55.53,32.9833,132.9333,
619,Matamoros,MX,87.91,25.5333,-103.25,
621,Weligama,LK,77.31,5.9667,80.4167,
623,Qarqin,AF,53.73,37.4185,66.0436,
624,Iracoubo,GF,78.28,5.4802,-53.2011,
625,Mount Gambier,AU,52.39,-37.8333,140.7667,
626,Omboue,GA,77.13,-1.5746,9.2618,
628,Pasir Gudang,MY,77.36,1.4584,103.8805,
629,San Policarpo,PH,80.38,12.1791,125.5072,
631,Luena,AO,65.52,-11.7833,19.9167,
632,Veraval,IN,78.22,20.9,70.3667,
635,Vondrozo,MG,70.07,-22.8167,47.2833,
636,Hit,IQ,69.58,33.6416,42.8251,
637,Turayf,SA,64.99,31.6725,38.6637,
638,Sisophon,KH,70.77,13.5859,102.9737,
639,Diapaga,BF,79.47,12.0708,1.7889,
640,Luba,GQ,79.23,3.4568,8.5547,
641,Rocha,UY,62.67,-34.4833,-54.3333,
642,Boueni,YT,80.58,-12.9025,45.0761,
645,Shasta Lake,US,58.35,40.6804,-122.3708,
646,Ugoofaaru,MV,82.11,5.6667,73.0,
647,Lerici,IT,60.6,44.0759,9.9112,
648,Hobbs,US,84.81,32.7026,-103.136,
649,Trairi,BR,80.1,-3.2778,-39.2689,
650,Mildura,AU,54.07,-34.2,142.15,
651,Ishigaki,JP,77.43,24.3448,124.1572,
654,Vila Velha,BR,78.75,-20.3297,-40.2925,
655,Sao Joao Da Barra,BR,75.27,-21.6403,-41.0511,
657,Ternate,ID,79.93,0.8,127.4,
658,Matias Romero,MX,82.81,16.8833,-95.0333,
659,Rabo De Peixe,PT,62.11,37.8,-25.5833,
660,Herat,AF,53.47,34.5,62.0,
662,Santarem,BR,80.73,-2.4431,-54.7083,
663,Simao,CN,60.24,22.7886,100.9748,
664,Siparia,TT,81.07,10.1333,-61.5,
666,Calera,US,70.2,33.1029,-86.7536,
