City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bambous Virieux,MU,2021-10-22 01:23:01,-20.3428,57.7575,74.21,94,40,10.36
1,Bluff,NZ,2021-10-22 01:23:12,-46.6,168.3333,52.95,63,0,9.71
2,Chuy,UY,2021-10-22 01:22:29,-33.6971,-53.4616,54.86,87,0,4.99
3,Buchanan,LR,2021-10-22 01:19:18,5.8808,-10.0467,77.54,86,100,3.11
4,Lebu,CL,2021-10-22 01:23:13,-37.6167,-73.65,49.86,71,0,16.24
5,Albany,US,2021-10-22 01:23:13,42.6001,-73.9662,63.01,75,6,4.16
6,Alofi,NU,2021-10-22 01:23:13,-19.0595,-169.9187,78.69,61,75,16.11
7,Tezu,IN,2021-10-22 01:19:19,27.9167,96.1667,71.06,98,81,1.5
8,Ushuaia,AR,2021-10-22 01:23:14,-54.8,-68.3,38.86,81,75,14.97
9,Tuktoyaktuk,CA,2021-10-22 01:23:14,69.4541,-133.0374,26.6,100,20,6.91
10,Vardo,NO,2021-10-22 01:19:20,70.3705,31.1107,36.12,53,100,27.51
11,Sao Filipe,CV,2021-10-22 01:23:15,14.8961,-24.4956,81.3,63,0,4.29
12,Thabazimbi,ZA,2021-10-22 01:23:15,-24.5917,27.4116,71.2,33,100,4.59
13,Olafsvik,IS,2021-10-22 01:23:16,64.8945,-23.7142,40.39,65,100,14.56
14,Bredasdorp,ZA,2021-10-22 01:23:16,-34.5322,20.0403,61.29,94,100,8.05
15,Salalah,OM,2021-10-22 01:23:16,17.0151,54.0924,73.49,78,20,3.44
16,Nikolskoye,RU,2021-10-22 01:23:17,59.7035,30.7861,51.87,72,100,17.45
17,Nerchinskiy Zavod,RU,2021-10-22 01:19:21,51.3088,119.61,32.92,61,4,4.36
18,Quesnel,CA,2021-10-22 01:19:21,52.9999,-122.5029,55.9,47,40,13.8
19,Rikitea,PF,2021-10-22 01:22:48,-23.1203,-134.9692,74.07,81,56,23.76
20,Hasaki,JP,2021-10-22 01:23:18,35.7333,140.8333,54.0,84,100,18.37
21,Humaita,BR,2021-10-22 01:19:22,-7.5061,-63.0208,74.82,93,100,3.33
22,Willowmore,ZA,2021-10-22 01:19:23,-33.2926,23.4895,56.25,91,100,8.46
23,Port Hedland,AU,2021-10-22 01:19:23,-20.3167,118.5667,95.05,13,0,18.41
24,Talnakh,RU,2021-10-22 01:22:06,69.4865,88.3972,24.66,97,100,2.75
25,Hilo,US,2021-10-22 01:23:18,19.7297,-155.09,82.13,64,1,6.91
26,Ambilobe,MG,2021-10-22 01:19:23,-13.2,49.05,70.75,93,78,1.16
27,Vaini,TO,2021-10-22 01:22:16,-21.2,-175.2,77.16,88,75,10.36
28,Manzhouli,CN,2021-10-22 01:19:24,49.6,117.4333,35.87,60,0,6.2
29,Waipawa,NZ,2021-10-22 01:19:24,-41.4122,175.5153,62.02,55,100,10.25
30,Lasa,IT,2021-10-22 01:23:19,46.6166,10.7002,47.66,90,10,4.27
31,Nanakuli,US,2021-10-22 01:19:25,21.3906,-158.1547,82.35,69,40,6.91
32,Puerto Ayacucho,VE,2021-10-22 01:23:20,5.6639,-67.6236,74.59,93,100,6.64
33,Yellowknife,CA,2021-10-22 01:19:19,62.456,-114.3525,43.41,72,20,13.8
34,Kapaa,US,2021-10-22 01:23:20,22.0752,-159.319,82.38,68,1,1.99
35,Khatanga,RU,2021-10-22 01:23:21,71.9667,102.5,-4.79,100,95,3.27
36,Punta Arenas,CL,2021-10-22 01:23:21,-53.15,-70.9167,44.71,61,40,16.11
37,Butaritari,KI,2021-10-22 01:23:21,3.0707,172.7902,82.85,71,25,13.0
38,Atuona,PF,2021-10-22 01:23:22,-9.8,-139.0333,77.88,77,17,18.05
39,Taoudenni,ML,2021-10-22 01:23:22,22.6783,-3.9836,75.58,29,0,10.49
