City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
356,Xam Nua,20.4197,104.0439,54.07,99,40,1.7,LA,2021-10-24 22:12:42
357,Togur,58.3631,82.8265,39.96,96,99,6.02,RU,2021-10-24 22:12:42
358,Meadow Lake,34.8014,-106.5436,75.67,16,3,16.22,US,2021-10-24 22:11:26
359,Ouesso,1.6136,16.0517,69.87,98,91,2.01,CG,2021-10-24 22:12:43
360,Ust-Nera,64.5667,143.2,7.45,97,96,6.17,RU,2021-10-24 22:12:43
361,Izmalkovo,52.6887,37.964,31.86,78,19,12.03,RU,2021-10-24 22:12:44
362,Soyo,-6.1349,12.3689,77.27,83,96,9.06,AO,2021-10-24 22:12:44
363,Nantucket,41.2835,-70.0995,54.01,62,1,8.05,US,2021-10-24 22:12:45
364,Belyy Yar,53.6039,91.3903,46.29,66,0,11.18,RU,2021-10-24 22:12:45
365,Flinders,-34.5833,150.8552,62.8,58,3,4.0,AU,2021-10-24 22:12:46
366,Tiznit,29.5833,-9.5,66.52,57,100,1.12,MA,2021-10-24 22:12:46
367,Berlevag,70.8578,29.0864,30.81,73,78,8.34,NO,2021-10-24 22:12:47
368,Conceicao Do Araguaia,-8.2578,-49.2647,82.26,63,66,2.24,BR,2021-10-24 22:12:47
369,Bud,39.447,-86.1758,75.24,98,97,14.67,US,2021-10-24 22:12:48
370,Stromness,58.965,-3.296,52.05,85,100,17.0,GB,2021-10-24 22:12:48
371,Constantine,36.365,6.6147,54.55,88,12,3.6,DZ,2021-10-24 22:12:48
372,Belaya Gora,68.5333,146.4167,-0.85,98,100,0.18,RU,2021-10-24 22:12:49
373,Hualmay,-11.0964,-77.6139,65.34,77,30,12.55,PE,2021-10-24 22:12:49
374,San Jose,37.3394,-121.895,65.3,84,90,13.8,US,2021-10-24 22:10:11
375,Oskemen,49.9565,82.6119,37.96,67,15,4.79,KZ,2021-10-24 22:12:50
376,Comodoro Rivadavia,-45.8667,-67.5,64.26,36,100,46.04,AR,2021-10-24 22:12:50
377,Nishihara,26.1842,127.7558,74.48,74,20,10.36,JP,2021-10-24 22:12:51
378,Bogorodskoye,56.55,37.8833,28.9,89,35,8.14,RU,2021-10-24 22:12:51
379,Cam Ranh,11.9214,109.1591,76.96,88,75,5.75,VN,2021-10-24 22:12:52
380,Avera,33.194,-82.5271,76.87,50,94,4.56,US,2021-10-24 22:11:07
381,Antsohihy,-14.8796,47.9875,73.96,85,99,4.03,MG,2021-10-24 22:12:52
382,Rosario,-32.9468,-60.6393,77.83,28,0,1.99,AR,2021-10-24 22:12:53
383,Codrington,-38.2667,141.9667,52.41,65,100,10.65,AU,2021-10-24 22:12:53
384,Khorramshahr,30.4397,48.1664,77.88,20,0,10.25,IR,2021-10-24 22:08:04
385,Anito,12.4497,125.2886,78.6,88,97,4.0,PH,2021-10-24 22:12:54
386,Balaipungut,1.05,101.2833,73.0,95,100,1.79,ID,2021-10-24 22:12:54
387,Kamenka,51.3223,42.7678,37.44,84,99,12.71,RU,2021-10-24 22:12:55
388,Taoudenni,22.6783,-3.9836,87.28,17,11,10.25,ML,2021-10-24 22:12:55
389,Tuatapere,-46.1333,167.6833,58.23,88,98,3.04,NZ,2021-10-24 22:12:56
390,Priiskovyy,51.9333,116.6333,30.99,84,7,6.11,RU,2021-10-24 22:12:56
391,Morehead,37.2711,-87.1764,79.3,56,1,14.97,US,2021-10-24 22:09:07
392,Talnakh,69.4865,88.3972,25.95,97,100,6.24,RU,2021-10-24 22:12:57
393,Jaque,7.5175,-78.1703,80.55,82,49,3.33,PA,2021-10-24 22:12:57
394,Nanortalik,60.1432,-45.2371,32.83,97,100,4.21,GL,2021-10-24 22:12:58
395,Pereira,4.8133,-75.6961,72.36,78,40,13.8,CO,2021-10-24 22:10:16
396,Kichera,55.9375,110.0997,35.89,97,100,6.85,RU,2021-10-24 22:12:59
397,Vigia Del Fuerte,6.5789,-76.8863,80.71,82,79,2.68,CO,2021-10-24 22:12:59
398,Jumla,29.2747,82.1838,43.36,81,1,4.76,NP,2021-10-24 22:13:00
399,Lodja,-3.4833,23.4333,70.29,99,76,1.32,CD,2021-10-24 22:13:00
400,Roebourne,-20.7833,117.1333,75.34,52,2,11.03,AU,2021-10-24 22:13:01
401,Severo-Kurilsk,50.6789,156.125,39.02,75,46,19.69,RU,2021-10-24 22:13:01
402,Port Blair,11.6667,92.75,79.79,81,70,4.14,IN,2021-10-24 22:13:02
403,Tateyama,34.9833,139.8667,57.02,64,53,10.11,JP,2021-10-24 22:13:02
404,Kysyl-Syr,63.8986,122.7617,30.11,99,100,2.51,RU,2021-10-24 22:13:03
405,Lorengau,-2.0226,147.2712,81.84,81,80,8.34,PG,2021-10-24 22:13:04
406,Ashland,40.8167,-82.2665,56.26,96,100,7.16,US,2021-10-24 22:10:29
407,Porto Walter,-8.2686,-72.7439,92.8,42,78,6.53,BR,2021-10-24 22:13:05
408,Dunedin,-45.8742,170.5036,62.8,71,86,5.99,NZ,2021-10-24 22:12:35
